"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"2556","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2557","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2558","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2559","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2560","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2561","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2562","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2563","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2564","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2565","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2566","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2567","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2568","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2569","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2570","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2571","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2572","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2573","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2574","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2575","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2576","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2577","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2578","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2579","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2580","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2581","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2582","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2583","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2584","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2585","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2586","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2587","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2588","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2589","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2590","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2591","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2592","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2593","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2594","6-NW",303,"meters",-110.768616,59.842426,TRUE
"2595","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2596","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2597","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2598","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2599","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
"2600","1427-SE",1307,"meters",-114.585999,51.468898,TRUE
"2601","1466-NE",1453,"meters",-115.772804,51.198032,TRUE
"2602","1467-SE",1524,"meters",-115.465797,51.19226,TRUE
"2603","154-SW",257,"meters",-110.185188,58.704395,TRUE
"2604","183-SW",277,"meters",-110.255699,58.498306,TRUE
"2605","210-NE",222,"meters",-110.99514,58.363522,TRUE
"2606","36-NW",231,"meters",-111.286217,59.510143,TRUE
"2607","416-SE",453,"meters",-112.114517,57.262726,TRUE
"2608","691-NE",585,"meters",-113.99424,55.805694,TRUE
"2609","1210-SW",885,"meters",-114.774429,52.939247,TRUE
"2610","1265-NW",1196,"meters",-116.084496,52.709812,TRUE
"2611","1292-NE",1559,"meters",-116.379936,52.525878,TRUE
"2612","1293-SE",1632,"meters",-116.083382,52.514469,TRUE
"2613","1322-SE",1626,"meters",-116.184082,52.360622,TRUE
"2614","1425-NE",1653,"meters",-115.188652,51.51881,TRUE
