organization,project_name,location,recording_date,longitude,latitude,method,status,observer,species_code,species_common_name,species_class,individual_appearance_order,tag_start_s,vocalization,abundance,species_comments,is_verified,observer_id
BU,Zeller- Woodpeckers- BU 2021,BG-16-6-I,2020-06-02 22:20:00,-119.051941,54.740901,60s None,Transcribed,Austin Zeller,NONE,NONE,None,1,2.14,Song,1,,false,841
BU,Zeller- Woodpeckers- BU 2021,BG-16-6-I,2020-06-03 15:00:00,-119.051941,54.740901,60s None,Transcribed,Austin Zeller,NONE,NONE,None,1,1.90,Song,1,,false,841
BU,Zeller- Woodpeckers- BU 2021,BG-16-6-I,2020-06-03 21:21:00,-119.051941,54.740901,60s None,Transcribed,Austin Zeller,NONE,NONE,None,1,2.03,Song,1,,false,841
BU,Zeller- Woodpeckers- BU 2021,BG-16-6-I,2020-06-03 22:21:00,-119.051941,54.740901,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-16-6-I,2020-06-03 23:21:00,-119.051941,54.740901,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-16-6-I,2020-06-04 00:00:00,-119.051941,54.740901,60s None,Transcribed,Austin Zeller,NONE,NONE,None,1,0.05,Song,1,,false,841
BU,Zeller- Woodpeckers- BU 2021,BG-16-6-I,2020-06-04 01:00:00,-119.051941,54.740901,60s None,Transcribed,Austin Zeller,NONE,NONE,None,1,2.06,Song,1,,false,841
BU,Zeller- Woodpeckers- BU 2021,BG-16-6-I,2020-06-04 02:00:00,-119.051941,54.740901,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-16-6-I,2020-06-04 03:45:00,-119.051941,54.740901,60s None,Transcribed,Austin Zeller,NONE,NONE,None,1,1.01,Song,1,,false,841
BU,Zeller- Woodpeckers- BU 2021,BG-16-6-I,2020-06-04 04:45:00,-119.051941,54.740901,60s None,Transcribed,Austin Zeller,NONE,NONE,None,1,1.25,Song,1,,false,841
BU,Zeller- Woodpeckers- BU 2021,BG-16-6-I,2020-06-04 05:15:00,-119.051941,54.740901,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-16-6-I,2020-06-04 22:22:00,-119.051941,54.740901,60s None,Transcribed,Austin Zeller,NONE,NONE,None,1,0.03,Song,1,,false,841
BU,Zeller- Woodpeckers- BU 2021,BG-17-14-I,2020-06-02 21:20:00,-118.948972,54.715279,60s None,Transcribed,Austin Zeller,NONE,NONE,None,1,1.35,Song,1,,false,841
BU,Zeller- Woodpeckers- BU 2021,BG-17-16-I,2020-06-06 05:14:00,-118.930583,54.716439,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-17-18-E,2020-06-03 07:46:00,-118.914349,54.714626,60s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-17-32-E,2020-06-04 07:45:00,-118.969651,54.726057,60s None,Transcribed,Austin Zeller,NONE,NONE,None,1,1.99,Song,1,,false,841
BU,Zeller- Woodpeckers- BU 2021,BG-17-40,2019-06-17 00:00:00,-118.895679,54.729436,180s None,Transcribed,Austin Zeller,NONE,NONE,,,,,,,,841
BU,Zeller- Woodpeckers- BU 2021,BG-17-40,2019-06-17 01:00:00,-118.895679,54.729436,180s None,Malfunction,Austin Zeller,NONE,NONE,,,,,,,,841
